Fecha;Tipo Partido;Equipo 1;Equipo 2;Goles Equipo 1 ;Goles Equipo 2
17/11/2015;Amistoso;Rusia;Croacia;1;3
11/06/2016;Oficial;Colombia;Costa Rica ;2;3
12/06/2016;Oficial;Brasil;Peru;0;1
21/06/2016;Oficial;Croacia;España;2;1
25/06/2016;Oficial;Croacia;Portugal;0;1
30/06/2016;Oficial;Polonia;Portugal;1;2
06/09/2016;Oficial;Brasil;Colombia;2;1
08/10/2016;Oficial;Dinamarca;Polonia;2;3
11/10/2016;Oficial;Colombia;Uruguay;2;2
10/11/2016;Oficial;Brasil;Argentina;3;0
12/11/2016;Oficial;Croacia;Islandia;2;0
12/11/2016;Oficial;Islandia;Croacia;0;2
15/11/2016;Amistoso;España;Inglaterra;2;2
15/11/2016;Oficial;Argentina;Colombia;3;0
29/01/2017;Amistoso;Egipto;Marruecos;1;0
22/03/2017;Amistoso;Inglaterra;Alemania;0;1
23/03/2017;Amistoso;Tunez;Iran;1;0
28/03/2017;Amistoso;Uruguay;Peru;1;2
28/03/2017;Amistoso;España;Francia;2;0
28/03/2017;Oficial;Peru;Uruguay;2;1
08/06/2017;Oficial;Costa Rica;Panama;0;0
09/06/2017;Oficial;Brasil;Argentina;0;1
11/06/2017;Oficial;Tunez;Egipto;1;0
11/06/2017;Oficial;Croacia;Islandia;0;1
13/06/2017;Amistoso;Inglaterra;Francia;2;3
29/06/2017;Oficial;Alemania;Mexico;4;1
29/06/2017;Oficial;Alemania;Mexico;4;1
02/07/2017;Oficial;Mexico;Portugal;2;1
19/07/2017;Oficial;Costa Rica;Panama;1;0
31/08/2017;Oficial;Australia;Japon;0;2
05/09/2017;Oficial;Mexico;Costa Rica;1;1
05/09/2017;Oficial;Colombia;Brasil;1;1
05/09/2017;Oficial;Japon;Arabia Saudita;0;1
07/10/2017;Amistoso;Rusia;Corea del Sur;4;2
10/10/2017;Amistoso;Iran;Rusia;1;1
10/10/2017;Oficial;Portugal;Suiza;2;0
10/10/2017;Oficial;Peru;Colombia;1;1
10/10/2017;Oficial;Suiza;Portugal;0;2
10/10/2017;Amistoso;Corea del Sur;Marruecos;3;1
09/11/2017;Amistoso;Panama;Iran;1;2
10/11/2017;Amistoso;Uruguay;Polonia;0;0
10/11/2017;Amistoso;Portugal;Arabia Saudita;3;0
10/11/2017;Amistoso;Mexico;Belgica;3;3
11/11/2017;Amistoso;Rusia;Argentina;0;1
13/11/2017;Amistoso;Mexico;Polonia;1;0
14/11/2017;Amistoso;España;Rusia;3;3
14/11/2017;Amistoso;Nigeria;Argentina;2;4
14/11/2017;Amistoso;Serbia;Corea del Sur;1;1
14/11/2017;Amistoso;Alemania;Francia;2;2
14/11/2017;Amistoso;Belgica;Japon;1;0
14/11/2017;Amistoso;Argentina;Nigeria;2;4
14/11/2017;Amistoso;Rusia;España;3;3
14/11/2017;Amistoso;Belgica;Japon;1;0
16/12/2017;Oficial;Corea del Sur;Japon;4;1
11/01/2018;Amistoso;Dinamarca;Suecia;0;1
04/02/2018;Amistoso;Marruecos;Nigeria;4;0
04/02/2018;Oficial;Nigeria;Marruecos;0;4
22/03/2018;Amistoso;Panama;Dinamarca;0;1
23/03/2018;Amistoso;Rusia;Brasil;0;3
23/03/2018;Amistoso;Iran;Tunez;0;1
23/03/2018;Amistoso;Portugal;Egipto;2;1
23/03/2018;Amistoso;España;Alemania;1;1
23/03/2018;Amistoso;Francia;Colombia;2;3
23/03/2018;Amistoso;Islandia;Mexico;0;3
23/03/2018;Amistoso;Peru;Croacia;2;0
23/03/2018;Amistoso;Nigeria;Polonia;1;0
23/03/2018;Amistoso;Alemania;España;1;1
27/03/2018;Amistoso;Rusia;Francia;1;3
27/03/2018;Amistoso;Arabia Saudita;Belgica;0;4
27/03/2018;Amistoso;Islandia;Peru;1;3
27/03/2018;Amistoso;Serbia;Nigeria;2;0
27/03/2018;Amistoso;Alemania;Brasil;0;1
27/03/2018;Amistoso;Corea del Sur;Polonia;2;3
27/03/2018;Amistoso;Panama;Suiza;0;6
27/03/2018;Amistoso;Tunez;Costa Rica;1;0
28/05/2018;Amistoso;Portugal;Tunez;2;2
02/06/2018;Amistoso;Dinamarca;Suecia;0;0
02/06/2018;Amistoso;Belgica;Portugal;0;0
03/06/2018;Amistoso;Brasil;Croacia;2;0
03/06/2018;Amistoso;Suiza;España;1;1
05/06/2018;Amistoso;Rusia;Turquia;1;1
06/06/2018;Amistoso;Belgica;Egipto;3;0
08/06/2018;Amistoso;Arabia Saudita;Alemania;1;2
08/06/2018;Amistoso;Alemania;Arabia Saudita;2;1
08/06/2018;Amistoso;Japon;Suiza;0;2
08/06/2018;Amistoso;Senegal;Croacia;1;2
09/06/2018;Amistoso;Mexico;Dinamarca;0;2
09/06/2018;Amistoso;Suecia;Peru;0;0
11/06/2018;Amistoso;Belgica;Costa Rica;4;1
11/06/2018;Amistoso;Senegal;Corea del Sur;2;0
19/11/2018;Amistoso;Francia;Uruguay;0;0
08/06/2018;Oficial;Suecia;Mexico;3;0
